planner,method,seeker_csr_mean,seeker_csr_std,seeker_csr_ci95,overall_csr,el_mean_std,attempted_kb,episode_cpu_ms
A*,One-shot,0.3425,0.2061,"[0.3025, 0.3825]",0.6713,25.00 ± 0.00,47.62,305.2
A*,Retry-All,0.5175,0.1821,"[0.4825, 0.5525]",0.7588,25.00 ± 0.00,154.45,1085.3
A*,Path-Aware Top-K,0.4550,0.1859,"[0.4200, 0.4900]",0.7275,25.00 ± 0.00,54.37,324.4
A*,Single-Cell,0.4650,0.1813,"[0.4300, 0.5000]",0.7325,25.00 ± 0.00,52.11,487.0
A*,CARE-Lite,0.4800,0.1765,"[0.4450, 0.5150]",0.7400,25.00 ± 0.00,57.00,344.9
A*,OCBC-FS (adapt.),0.4725,0.1808,"[0.4375, 0.5075]",0.7362,25.00 ± 0.00,52.57,801.4
A*,PGSC (adapt.),0.4800,0.1869,"[0.4425, 0.5150]",0.7400,25.00 ± 0.00,62.79,1434.2
A*,Bernoulli R-D (adapt.),0.4800,0.1801,"[0.4450, 0.5150]",0.7400,25.00 ± 0.00,62.74,4649.7
A*,VoI/byte (adapt.),0.4600,0.1837,"[0.4250, 0.4950]",0.7300,25.00 ± 0.00,52.49,607.1
A*,CARE,0.4725,0.1877,"[0.4350, 0.5075]",0.7362,25.00 ± 0.00,53.25,1350.8
D* Lite,One-shot,0.3800,0.2146,"[0.3375, 0.4225]",0.6900,25.00 ± 0.00,47.78,478.4
D* Lite,Retry-All,0.5725,0.1678,"[0.5400, 0.6050]",0.7863,25.00 ± 0.00,155.00,1251.3
D* Lite,Path-Aware Top-K,0.5225,0.1883,"[0.4850, 0.5600]",0.7612,25.00 ± 0.00,54.39,510.8
D* Lite,Single-Cell,0.5250,0.1829,"[0.4900, 0.5600]",0.7625,25.00 ± 0.00,52.23,663.8
D* Lite,CARE-Lite,0.5425,0.1743,"[0.5075, 0.5775]",0.7712,25.00 ± 0.00,57.06,512.1
D* Lite,OCBC-FS (adapt.),0.5350,0.1742,"[0.5000, 0.5700]",0.7675,25.00 ± 0.00,52.54,984.8
D* Lite,PGSC (adapt.),0.5350,0.1914,"[0.4975, 0.5725]",0.7675,25.00 ± 0.00,62.87,1693.6
D* Lite,Bernoulli R-D (adapt.),0.5350,0.1847,"[0.4975, 0.5700]",0.7675,25.00 ± 0.00,62.88,4975.9
D* Lite,VoI/byte (adapt.),0.5325,0.1835,"[0.4975, 0.5675]",0.7662,25.00 ± 0.00,52.56,791.1
D* Lite,CARE,0.5375,0.1926,"[0.5000, 0.5750]",0.7688,25.00 ± 0.00,53.25,1561.6
