planner,delay_steps,method,seeker_success_mean,seeker_success_std,seeker_success_ci95,pair_success_mean,pair_success_std,pair_success_ci95,overall_csr_mean,overall_csr_std,overall_csr_ci95,el_mean,el_std,el_ci95,attempted_kb_mean,attempted_kb_ci95,delivered_kb_mean,delivered_kb_ci95,attempted_control_kb_mean,attempted_control_kb_ci95,delivered_control_kb_mean,delivered_control_kb_ci95,attempted_repair_kb_mean,attempted_repair_kb_ci95,delivered_repair_kb_mean,delivered_repair_kb_ci95,gate_checks_mean,gate_checks_ci95,gate_closed_mean,gate_closed_ci95,gate_closed_fraction,commitment_raw_cells_mean,commitment_raw_cells_ci95,commitment_suppressed_cells_mean,commitment_suppressed_cells_ci95,planning_cpu_ms_mean,planning_cpu_ms_ci95,certificate_cpu_ms_mean,certificate_cpu_ms_ci95,episode_cpu_ms_mean,episode_cpu_ms_ci95
A*,0,RouteWitness-Gated,0.4725,0.1877,"[0.4350, 0.5075]",0.4725,0.1877,"[0.4350, 0.5075]",0.7362,0.0938,"[0.7175, 0.7538]",25.00,0.00,"[25.00, 25.00]",53.25,"[53.00, 53.49]",37.29,"[37.09, 37.47]",4.31,"[4.27, 4.35]",3.00,"[2.95, 3.04]",0.46,"[0.43, 0.48]",0.32,"[0.30, 0.33]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",0.0000,0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",746.7,"[726.9, 769.6]",713.2,"[694.2, 735.0]",940.0,"[916.1, 967.8]"
A*,0,RouteWitness-Ungated,0.4725,0.1877,"[0.4350, 0.5075]",0.4725,0.1877,"[0.4350, 0.5075]",0.7362,0.0938,"[0.7175, 0.7538]",25.00,0.00,"[25.00, 25.00]",53.25,"[53.00, 53.49]",37.29,"[37.09, 37.47]",4.31,"[4.27, 4.35]",3.00,"[2.95, 3.04]",0.46,"[0.43, 0.48]",0.32,"[0.30, 0.33]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",0.0000,0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",751.9,"[730.8, 775.6]",718.1,"[697.9, 740.7]",946.0,"[920.7, 974.8]"
A*,1,RouteWitness-Gated,0.3825,0.2175,"[0.3400, 0.4250]",0.3825,0.2175,"[0.3400, 0.4250]",0.6913,0.1087,"[0.6700, 0.7125]",25.00,0.00,"[25.00, 25.00]",56.84,"[56.49, 57.20]",38.91,"[38.65, 39.17]",8.26,"[8.17, 8.34]",5.77,"[5.67, 5.87]",1.05,"[1.00, 1.10]",0.72,"[0.69, 0.76]",90.64,"[89.93, 91.35]",1.65,"[1.35, 1.96]",0.0182,1135.54,"[1122.65, 1148.31]",0.00,"[0.00, 0.00]",757.5,"[737.9, 780.3]",719.5,"[700.7, 741.2]",946.6,"[923.7, 973.9]"
A*,1,RouteWitness-Ungated,0.3825,0.2175,"[0.3400, 0.4250]",0.3825,0.2175,"[0.3400, 0.4250]",0.6913,0.1087,"[0.6700, 0.7125]",25.00,0.00,"[25.00, 25.00]",56.84,"[56.49, 57.20]",38.91,"[38.65, 39.17]",8.26,"[8.17, 8.34]",5.77,"[5.67, 5.87]",1.05,"[1.00, 1.10]",0.72,"[0.69, 0.76]",90.64,"[89.93, 91.35]",1.65,"[1.35, 1.96]",0.0182,1135.54,"[1122.65, 1148.31]",0.00,"[0.00, 0.00]",765.6,"[745.4, 788.5]",727.1,"[707.9, 748.8]",957.4,"[933.3, 985.3]"
A*,2,RouteWitness-Gated,0.2950,0.2258,"[0.2500, 0.3400]",0.2950,0.2258,"[0.2500, 0.3400]",0.6475,0.1129,"[0.6250, 0.6700]",25.00,0.00,"[25.00, 25.00]",52.59,"[52.24, 52.95]",34.81,"[34.56, 35.05]",3.90,"[3.85, 3.95]",2.68,"[2.63, 2.73]",0.79,"[0.73, 0.85]",0.54,"[0.49, 0.60]",93.26,"[92.52, 93.99]",69.73,"[68.78, 70.67]",0.7477,1195.05,"[1182.68, 1207.33]",961.43,"[944.48, 978.06]",771.1,"[744.8, 800.0]",731.4,"[706.4, 758.8]",960.8,"[930.0, 994.6]"
A*,2,RouteWitness-Ungated,0.3475,0.2158,"[0.3050, 0.3900]",0.3475,0.2158,"[0.3050, 0.3900]",0.6737,0.1079,"[0.6525, 0.6950]",25.00,0.00,"[25.00, 25.00]",58.67,"[58.29, 59.04]",38.86,"[38.59, 39.14]",8.63,"[8.55, 8.71]",5.88,"[5.78, 5.98]",1.94,"[1.85, 2.05]",1.34,"[1.25, 1.42]",92.85,"[92.13, 93.55]",69.64,"[68.73, 70.55]",0.7500,1195.16,"[1183.34, 1207.02]",0.00,"[0.00, 0.00]",752.1,"[729.3, 777.2]",713.3,"[691.7, 737.1]",947.6,"[920.6, 977.8]"
A*,4,RouteWitness-Gated,0.3050,0.2059,"[0.2650, 0.3450]",0.3050,0.2059,"[0.2650, 0.3450]",0.6525,0.1030,"[0.6325, 0.6725]",25.00,0.00,"[25.00, 25.00]",49.85,"[49.59, 50.10]",30.12,"[29.96, 30.28]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",95.21,"[94.65, 95.76]",95.21,"[94.65, 95.76]",1.0000,1299.76,"[1290.14, 1309.53]",1299.76,"[1290.14, 1309.53]",721.6,"[699.8, 746.3]",683.0,"[662.2, 706.4]",903.3,"[878.0, 932.7]"
A*,4,RouteWitness-Ungated,0.3050,0.2059,"[0.2650, 0.3450]",0.3050,0.2059,"[0.2650, 0.3450]",0.6525,0.1030,"[0.6325, 0.6725]",25.00,0.00,"[25.00, 25.00]",62.49,"[62.22, 62.76]",37.93,"[37.71, 38.15]",9.26,"[9.19, 9.33]",5.87,"[5.78, 5.96]",3.71,"[3.58, 3.85]",2.16,"[2.06, 2.26]",95.21,"[94.65, 95.76]",95.21,"[94.65, 95.76]",1.0000,1298.38,"[1288.66, 1308.23]",0.00,"[0.00, 0.00]",727.6,"[704.4, 753.8]",688.4,"[666.3, 713.2]",927.5,"[900.1, 958.8]"
D* Lite,0,RouteWitness-Gated,0.5375,0.1926,"[0.5000, 0.5750]",0.5375,0.1926,"[0.5000, 0.5750]",0.7688,0.0963,"[0.7500, 0.7875]",25.00,0.00,"[25.00, 25.00]",53.25,"[53.01, 53.49]",37.30,"[37.11, 37.49]",4.26,"[4.22, 4.30]",2.95,"[2.91, 3.00]",0.44,"[0.41, 0.46]",0.30,"[0.29, 0.32]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",0.0000,0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",835.8,"[813.6, 860.9]",704.3,"[685.8, 725.2]",1029.6,"[1003.7, 1059.5]"
D* Lite,0,RouteWitness-Ungated,0.5375,0.1926,"[0.5000, 0.5750]",0.5375,0.1926,"[0.5000, 0.5750]",0.7688,0.0963,"[0.7500, 0.7875]",25.00,0.00,"[25.00, 25.00]",53.25,"[53.01, 53.49]",37.30,"[37.11, 37.49]",4.26,"[4.22, 4.30]",2.95,"[2.91, 3.00]",0.44,"[0.41, 0.46]",0.30,"[0.29, 0.32]",0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",0.0000,0.00,"[0.00, 0.00]",0.00,"[0.00, 0.00]",835.7,"[811.2, 863.9]",704.7,"[683.9, 728.7]",1030.5,"[1001.6, 1064.4]"
