planner,method,policy,paired_maps,episode_cpu_ms_available,episode_cpu_ms_mean,episode_cpu_ms_std,episode_cpu_ms_ci95_low,episode_cpu_ms_ci95_high,planning_cpu_ms_available,planning_cpu_ms_mean,planning_cpu_ms_std,planning_cpu_ms_ci95_low,planning_cpu_ms_ci95_high,certificate_cpu_ms_available,certificate_cpu_ms_mean,certificate_cpu_ms_std,certificate_cpu_ms_ci95_low,certificate_cpu_ms_ci95_high,method_extra_planning_calls_available,method_extra_planning_calls_mean,method_extra_planning_calls_std,method_extra_planning_calls_ci95_low,method_extra_planning_calls_ci95_high,certificate_scenario_planning_calls_available,certificate_scenario_planning_calls_mean,certificate_scenario_planning_calls_std,certificate_scenario_planning_calls_ci95_low,certificate_scenario_planning_calls_ci95_high,candidate_cells_available,candidate_cells_mean,candidate_cells_std,candidate_cells_ci95_low,candidate_cells_ci95_high,query_cells_available,query_cells_mean,query_cells_std,query_cells_ci95_low,query_cells_ci95_high,care_minus_method_episode_cpu_ms_mean,care_minus_method_episode_cpu_ms_std,care_minus_method_episode_cpu_ms_ci95_low,care_minus_method_episode_cpu_ms_ci95_high,care_to_method_episode_cpu_ratio,care_to_method_episode_cpu_ratio_ci95_low,care_to_method_episode_cpu_ratio_ci95_high
A*,One-shot,one_shot_delta,100,yes,305.174011,69.998195,292.666840,319.937917,yes,52.817509,14.120591,50.281756,55.771240,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,no,,,,,yes,0.000000,0.000000,0.000000,0.000000,1045.637716,270.208652,997.268569,1102.281805,4.426366,4.221326,4.641568
A*,Path Top-K,path_aware_top_k_repair,100,yes,324.373338,76.059600,310.834514,340.536653,yes,50.288295,14.109618,47.746021,53.265806,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,yes,1151.570000,50.642988,1141.670000,1161.580250,yes,683.020000,25.819490,677.979750,688.080000,1026.438390,300.213388,971.810110,1088.932246,4.164373,3.913815,4.430332
A*,Single-Cell,single_cell_sensitivity_repair,100,yes,487.048039,105.012721,468.690770,509.328426,yes,224.577085,54.798257,214.954404,236.082487,yes,0.000000,0.000000,0.000000,0.000000,yes,685.050000,25.740105,680.010000,690.110000,yes,0.000000,0.000000,0.000000,0.000000,yes,1154.590000,50.540932,1144.740000,1164.580000,yes,296.990000,12.134345,294.640000,299.370000,863.763688,312.813224,806.077476,928.953991,2.773467,2.613226,2.943590
A*,CARE-Lite,deadline_aware_repair,100,yes,344.946871,88.423730,328.747584,363.070582,yes,59.141662,19.502971,55.564296,63.138431,yes,0.000000,0.000000,0.000000,0.000000,yes,200.000000,0.000000,200.000000,200.000000,yes,0.000000,0.000000,0.000000,0.000000,no,,,,,yes,1130.290000,55.740070,1119.439750,1141.170250,1005.864857,297.597411,951.384887,1067.781763,3.915999,3.679874,4.171613
A*,CARE,certificate_repair,100,yes,1350.811728,289.041724,1298.882994,1411.305682,yes,1077.037021,240.400409,1033.820720,1127.398900,yes,1026.045709,228.611768,984.896569,1073.839257,yes,2985.410000,122.378622,2961.679750,3009.390000,yes,2985.410000,122.378622,2961.679750,3009.390000,yes,683.780000,25.806420,678.779750,688.860000,yes,482.190000,25.367877,477.220000,487.150000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
D* Lite,One-shot,one_shot_delta,100,yes,478.425589,128.298428,454.902915,504.787865,yes,214.617383,65.727640,202.589096,228.095973,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,no,,,,,yes,0.000000,0.000000,0.000000,0.000000,1083.154661,485.313216,993.823666,1182.651187,3.263998,3.026815,3.521024
D* Lite,Path Top-K,path_aware_top_k_repair,100,yes,510.777045,153.914401,482.101977,542.009076,yes,215.661441,75.270507,201.699386,230.913873,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000,0.000000,0.000000,yes,1147.590000,52.094532,1137.400000,1157.890250,yes,675.830000,25.099823,670.949750,680.750000,1050.803205,507.650757,956.953150,1154.327422,3.057264,2.806753,3.326743
D* Lite,Single-Cell,single_cell_sensitivity_repair,100,yes,663.816781,178.854303,631.470434,701.204220,yes,389.245978,118.533609,367.787047,414.049568,yes,0.000000,0.000000,0.000000,0.000000,yes,678.220000,24.898817,673.379750,683.100000,yes,0.000000,0.000000,0.000000,0.000000,yes,1150.170000,49.846847,1140.510000,1160.020000,yes,297.880000,13.347931,295.290000,300.510000,897.763469,513.370345,802.083919,1003.058223,2.352427,2.174256,2.545387
D* Lite,CARE-Lite,deadline_aware_repair,100,yes,512.083733,144.231041,485.896414,541.529409,yes,219.719068,71.234300,206.665957,234.279676,yes,0.000000,0.000000,0.000000,0.000000,yes,200.000000,0.000000,200.000000,200.000000,yes,0.000000,0.000000,0.000000,0.000000,no,,,,,yes,1128.630000,56.506664,1117.539500,1139.620000,1049.496518,511.078367,954.357063,1153.980920,3.049463,2.805053,3.314031
D* Lite,CARE,certificate_repair,100,yes,1561.580250,480.752948,1473.687823,1659.619001,yes,1276.607750,408.886763,1201.862696,1359.899396,yes,1064.761991,335.769855,1003.355639,1133.313187,yes,2947.330000,122.410970,2923.729750,2971.390000,yes,2947.330000,122.410970,2923.729750,2971.390000,yes,675.880000,25.749092,670.929750,680.940000,yes,475.280000,26.146085,470.209750,480.410000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
