planner,delay_steps,comparison,paired_maps,seeker_csr_difference,seeker_csr_std_difference,seeker_csr_ci95,seeker_csr_effect_dz,el_difference,el_ci95,traffic_kb_difference,traffic_kb_ci95
A*,0,CARE - One-shot,100,+0.1300,0.1647,"[+0.1000, +0.1625]",+0.789,+0.00,"[+0.00, +0.00]",+5.63,"[+5.39, +5.88]"
A*,0,CARE - PSR-UT,100,+0.0025,0.0973,"[-0.0150, +0.0225]",+0.026,+0.00,"[+0.00, +0.00]",-9.46,"[-9.66, -9.27]"
A*,0,CARE - CARE-Lite,100,-0.0075,0.0970,"[-0.0275, +0.0125]",-0.077,+0.00,"[+0.00, +0.00]",-3.74,"[-3.96, -3.54]"
A*,1,CARE - One-shot,100,+0.0625,0.1088,"[+0.0425, +0.0850]",+0.574,+0.00,"[+0.00, +0.00]",+4.24,"[+3.99, +4.49]"
A*,1,CARE - PSR-UT,100,-0.0075,0.1093,"[-0.0300, +0.0125]",-0.069,+0.00,"[+0.00, +0.00]",-10.89,"[-11.14, -10.63]"
A*,1,CARE - CARE-Lite,100,-0.0025,0.0906,"[-0.0200, +0.0150]",-0.028,+0.00,"[+0.00, +0.00]",-4.74,"[-5.00, -4.48]"
A*,2,CARE - One-shot,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+3.04,"[+2.99, +3.09]"
A*,2,CARE - PSR-UT,100,-0.0575,0.1223,"[-0.0825, -0.0350]",-0.470,+0.00,"[+0.00, +0.00]",-13.55,"[-13.84, -13.28]"
A*,2,CARE - CARE-Lite,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+1.28,"[+1.19, +1.37]"
A*,4,CARE - One-shot,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+0.00,"[+0.00, +0.00]"
A*,4,CARE - PSR-UT,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-19.38,"[-19.59, -19.18]"
A*,4,CARE - CARE-Lite,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+0.00,"[+0.00, +0.00]"
D* Lite,0,CARE - One-shot,100,+0.1575,0.1800,"[+0.1225, +0.1925]",+0.875,+0.00,"[+0.00, +0.00]",+5.47,"[+5.26, +5.69]"
D* Lite,0,CARE - PSR-UT,100,+0.0100,0.1119,"[-0.0125, +0.0325]",+0.089,+0.00,"[+0.00, +0.00]",-9.49,"[-9.69, -9.29]"
D* Lite,0,CARE - CARE-Lite,100,-0.0050,0.1004,"[-0.0250, +0.0150]",-0.050,+0.00,"[+0.00, +0.00]",-3.81,"[-4.01, -3.61]"
D* Lite,1,CARE - One-shot,100,+0.0825,0.1284,"[+0.0575, +0.1075]",+0.643,+0.00,"[+0.00, +0.00]",+4.20,"[+3.96, +4.44]"
D* Lite,1,CARE - PSR-UT,100,-0.0175,0.1138,"[-0.0400, +0.0050]",-0.154,+0.00,"[+0.00, +0.00]",-10.82,"[-11.08, -10.58]"
D* Lite,1,CARE - CARE-Lite,100,-0.0100,0.0865,"[-0.0275, +0.0075]",-0.116,+0.00,"[+0.00, +0.00]",-4.88,"[-5.11, -4.65]"
D* Lite,2,CARE - One-shot,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+3.00,"[+2.95, +3.06]"
D* Lite,2,CARE - PSR-UT,100,-0.0675,0.1274,"[-0.0925, -0.0450]",-0.530,+0.00,"[+0.00, +0.00]",-13.51,"[-13.79, -13.24]"
D* Lite,2,CARE - CARE-Lite,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+1.26,"[+1.18, +1.34]"
D* Lite,4,CARE - One-shot,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+0.00,"[+0.00, +0.00]"
D* Lite,4,CARE - PSR-UT,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-19.33,"[-19.54, -19.12]"
D* Lite,4,CARE - CARE-Lite,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+0.00,"[+0.00, +0.00]"
