study,planner,reliability_endpoint,care_reliability_mean,care_reliability_std,care_reliability_ci95_low,care_reliability_ci95_high,care_el_mean,care_el_std,care_el_ci95_low,care_el_ci95_high,care_attempted_kb_mean,delta_reliability_vs_one_shot,delta_reliability_ci95_low,delta_reliability_ci95_high,delta_el_vs_one_shot,delta_el_ci95_low,delta_el_ci95_high
density_10,A*,Derived seeker CSR,0.6525,0.14166666666666666,0.625,0.68,25.0,0.0,25.0,25.0,52.91368,0.19,0.1525,0.2275,0.0,0.0,0.0
density_10,D* Lite,Derived seeker CSR,0.6775,0.12459530448211079,0.6525,0.7,25.0,0.0,25.0,25.0,53.175760000000004,0.2025,0.165,0.24,0.0,0.0,0.0
density_20,A*,Derived seeker CSR,0.4725,0.18767247959133376,0.435,0.5075,25.0,0.0,25.0,25.0,53.25247,0.13,0.1,0.1625,0.0,0.0,0.0
density_20,D* Lite,Derived seeker CSR,0.5375,0.19258672452857817,0.5,0.575,25.0,0.0,25.0,25.0,53.25308999999999,0.1575,0.1225,0.1925,0.0,0.0,0.0
density_30,A*,Derived seeker CSR,0.305,0.21195339682166556,0.26493750000000005,0.3475,25.0,0.0,25.0,25.0,54.28863,0.1075,0.0775,0.1375,0.0,0.0,0.0
density_30,D* Lite,Derived seeker CSR,0.3425,0.21513150781920734,0.3,0.385,25.0,0.0,25.0,25.0,53.96598,0.115,0.085,0.145,0.0,0.0,0.0
density_40,A*,Derived seeker CSR,0.1475,0.17442184438303537,0.115,0.1825,25.0,0.0,25.0,25.0,54.9975,0.035,0.0175,0.055,0.0,0.0,0.0
density_40,D* Lite,Derived seeker CSR,0.1625,0.18248771924918036,0.1275,0.1975,25.0,0.0,25.0,25.0,54.895739999999996,0.0375,0.019937500000000056,0.0575,0.0,0.0,0.0
topology_t_junction,A*,Derived seeker CSR,0.915,0.14745312557699225,0.885,0.9425,25.0,0.0,25.0,25.0,63.28461,0.3075,0.2625,0.3525,0.0,0.0,0.0
topology_t_junction,D* Lite,Derived seeker CSR,0.915,0.14745312557699225,0.885,0.9425,25.0,0.0,25.0,25.0,63.28461,0.3075,0.2625,0.3525,0.0,0.0,0.0
topology_asymmetric_fork,A*,Derived seeker CSR,0.1775,0.24177113729368693,0.1325,0.225,24.97,0.3,24.91,25.0,59.13552,0.0225,0.01,0.0375,-0.03,-0.09,0.0
topology_asymmetric_fork,D* Lite,Derived seeker CSR,0.1775,0.24177113729368693,0.1325,0.225,24.97,0.3,24.91,25.0,59.130559999999996,0.0225,0.01,0.0375,-0.03,-0.09,0.0
topology_narrow_bypass,A*,Derived seeker CSR,0.2075,0.2821611223926836,0.155,0.265,24.96,0.28141058827257937,24.9,25.0,60.66983999999999,0.0425,0.025,0.06,-0.02,-0.06,0.0
topology_narrow_bypass,D* Lite,Derived seeker CSR,0.2075,0.2821611223926836,0.155,0.265,24.96,0.28141058827257937,24.9,25.0,60.671,0.0425,0.025,0.06,-0.02,-0.06,0.0
scale_agents_4_map_24,A*,Derived seeker CSR,0.43,0.1743675440098885,0.395,0.465,18.0,0.0,18.0,18.0,9.74629,0.07,0.035,0.11,0.0,0.0,0.0
scale_agents_8_map_32,A*,Derived seeker CSR,0.4025,0.1275992384638939,0.3775,0.4275,32.0,0.0,32.0,32.0,57.029309999999995,0.025,0.01,0.0425,0.0,0.0,0.0
scale_agents_16_map_48,A*,Derived seeker CSR,0.4925,0.11069682867538654,0.47125,0.51375,32.0,0.0,32.0,32.0,227.55696,0.04375,0.02875,0.05875,0.0,0.0,0.0
scale_agents_32_map_64,A*,Derived seeker CSR,0.56375,0.09648984611885544,0.544375,0.5825,32.0,0.0,32.0,32.0,916.14447,0.018125,0.010625,0.025625,0.0,0.0,0.0
random_negative_density_10,A*,Overall completion (random control),0.54625,0.203857217560515,0.50625,0.58625,24.96,0.28141058827257937,24.9,25.0,65.11398,0.00125,-0.00375,0.0075,0.0,0.0,0.0
random_negative_density_20,A*,Overall completion (random control),0.4675,0.17098570440569325,0.43375,0.50125,25.0,0.0,25.0,25.0,65.27356,-0.00125,-0.00875,0.005,0.0,0.0,0.0
random_negative_density_30,A*,Overall completion (random control),0.395,0.16256311905462345,0.36375,0.4275,25.0,0.0,25.0,25.0,62.17691000000001,0.015,0.005,0.02625,0.0,0.0,0.0
random_negative_density_40,A*,Overall completion (random control),0.6075,0.24619580365508614,0.55875,0.65625,24.43,2.2885529811378085,23.94,24.82,50.89405,-0.0025,-0.00875,0.00375,0.0,0.0,0.0
