fov,planner,method,seeker_csr_mean,seeker_csr_std,seeker_csr_ci95,el_mean,el_ci95,attempted_kb_mean
3x3,A*,One-shot,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",26.98
3x3,A*,Retry-All ARQ,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",75.38
3x3,A*,Scuttlebutt-Depth,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",49.99
3x3,A*,Dynamo-style Merkle AE,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",53.75
3x3,A*,Partitioned IBLT,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",130.07
3x3,A*,CARE,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",32.31
3x3,D* Lite,One-shot,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",26.98
3x3,D* Lite,Retry-All ARQ,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",75.38
3x3,D* Lite,Scuttlebutt-Depth,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",49.99
3x3,D* Lite,Dynamo-style Merkle AE,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",53.75
3x3,D* Lite,Partitioned IBLT,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",130.07
3x3,D* Lite,CARE,0.0000,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",32.31
5x5,A*,One-shot,0.3425,0.2061,"[0.3025, 0.3825]",25.00,"[25.00, 25.00]",47.62
5x5,A*,Retry-All ARQ,0.5175,0.1821,"[0.4825, 0.5525]",25.00,"[25.00, 25.00]",154.45
5x5,A*,Scuttlebutt-Depth,0.4250,0.2026,"[0.3850, 0.4650]",25.00,"[25.00, 25.00]",80.15
5x5,A*,Dynamo-style Merkle AE,0.3425,0.2061,"[0.3025, 0.3825]",25.00,"[25.00, 25.00]",73.18
5x5,A*,Partitioned IBLT,0.3625,0.2083,"[0.3225, 0.4025]",25.00,"[25.00, 25.00]",152.80
5x5,A*,CARE,0.4725,0.1877,"[0.4350, 0.5075]",25.00,"[25.00, 25.00]",53.25
5x5,D* Lite,One-shot,0.3800,0.2146,"[0.3375, 0.4225]",25.00,"[25.00, 25.00]",47.78
5x5,D* Lite,Retry-All ARQ,0.5725,0.1678,"[0.5400, 0.6050]",25.00,"[25.00, 25.00]",155.00
5x5,D* Lite,Scuttlebutt-Depth,0.4575,0.1980,"[0.4200, 0.4950]",25.00,"[25.00, 25.00]",80.80
5x5,D* Lite,Dynamo-style Merkle AE,0.3800,0.2146,"[0.3375, 0.4225]",25.00,"[25.00, 25.00]",73.56
5x5,D* Lite,Partitioned IBLT,0.3925,0.2169,"[0.3500, 0.4350]",25.00,"[25.00, 25.00]",152.87
5x5,D* Lite,CARE,0.5375,0.1926,"[0.5000, 0.5750]",25.00,"[25.00, 25.00]",53.25
7x7,A*,One-shot,0.6800,0.2134,"[0.6375, 0.7225]",24.82,"[24.74, 24.89]",65.35
7x7,A*,Retry-All ARQ,0.9525,0.1106,"[0.9300, 0.9725]",24.17,"[24.10, 24.24]",263.90
7x7,A*,Scuttlebutt-Depth,0.7425,0.2086,"[0.7000, 0.7825]",24.72,"[24.63, 24.81]",105.22
7x7,A*,Dynamo-style Merkle AE,0.6800,0.2134,"[0.6375, 0.7225]",24.82,"[24.74, 24.89]",90.57
7x7,A*,Partitioned IBLT,0.7125,0.2172,"[0.6700, 0.7550]",24.75,"[24.66, 24.83]",168.18
7x7,A*,CARE,0.8750,0.1609,"[0.8425, 0.9050]",24.43,"[24.34, 24.53]",67.79
7x7,D* Lite,One-shot,0.6925,0.2157,"[0.6500, 0.7350]",24.80,"[24.72, 24.87]",65.30
7x7,D* Lite,Retry-All ARQ,0.9525,0.1106,"[0.9300, 0.9725]",24.17,"[24.10, 24.24]",263.91
7x7,D* Lite,Scuttlebutt-Depth,0.7425,0.2086,"[0.7000, 0.7825]",24.72,"[24.63, 24.81]",105.43
7x7,D* Lite,Dynamo-style Merkle AE,0.6925,0.2157,"[0.6500, 0.7350]",24.80,"[24.72, 24.87]",90.56
7x7,D* Lite,Partitioned IBLT,0.7275,0.2164,"[0.6850, 0.7700]",24.73,"[24.64, 24.82]",168.10
7x7,D* Lite,CARE,0.8825,0.1607,"[0.8500, 0.9125]",24.40,"[24.30, 24.50]",67.67
