fov,planner,comparison,csr_difference,csr_ci95,csr_effect_dz,el_difference,el_ci95,traffic_difference_kb,traffic_ci95_kb
3x3,A*,CARE - Scuttlebutt-Depth,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-17.68,"[-18.54, -16.80]"
3x3,A*,CARE - Dynamo-style Merkle AE,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-21.44,"[-21.73, -21.15]"
3x3,A*,CARE - Partitioned IBLT,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-97.76,"[-97.91, -97.61]"
3x3,D* Lite,CARE - Scuttlebutt-Depth,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-17.68,"[-18.55, -16.81]"
3x3,D* Lite,CARE - Dynamo-style Merkle AE,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-21.44,"[-21.73, -21.15]"
3x3,D* Lite,CARE - Partitioned IBLT,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-97.76,"[-97.91, -97.61]"
5x5,A*,CARE - Scuttlebutt-Depth,+0.0238,"[+0.0088, +0.0387]",+0.301,+0.00,"[+0.00, +0.00]",-26.90,"[-28.45, -25.37]"
5x5,A*,CARE - Dynamo-style Merkle AE,+0.0650,"[+0.0500, +0.0813]",+0.789,+0.00,"[+0.00, +0.00]",-19.93,"[-20.29, -19.57]"
5x5,A*,CARE - Partitioned IBLT,+0.0550,"[+0.0387, +0.0712]",+0.670,+0.00,"[+0.00, +0.00]",-99.55,"[-99.85, -99.24]"
5x5,D* Lite,CARE - Scuttlebutt-Depth,+0.0400,"[+0.0225, +0.0575]",+0.461,+0.00,"[+0.00, +0.00]",-27.54,"[-29.16, -25.94]"
5x5,D* Lite,CARE - Dynamo-style Merkle AE,+0.0788,"[+0.0612, +0.0963]",+0.875,+0.00,"[+0.00, +0.00]",-20.30,"[-20.68, -19.93]"
5x5,D* Lite,CARE - Partitioned IBLT,+0.0725,"[+0.0550, +0.0900]",+0.813,+0.00,"[+0.00, +0.00]",-99.62,"[-99.89, -99.35]"
7x7,A*,CARE - Scuttlebutt-Depth,+0.0663,"[+0.0413, +0.0925]",+0.515,-0.29,"[-0.41, -0.17]",-37.42,"[-39.32, -35.52]"
7x7,A*,CARE - Dynamo-style Merkle AE,+0.0975,"[+0.0788, +0.1163]",+1.027,-0.39,"[-0.49, -0.29]",-22.78,"[-23.13, -22.43]"
7x7,A*,CARE - Partitioned IBLT,+0.0813,"[+0.0625, +0.1000]",+0.844,-0.32,"[-0.42, -0.22]",-100.38,"[-100.79, -99.97]"
7x7,D* Lite,CARE - Scuttlebutt-Depth,+0.0700,"[+0.0450, +0.0950]",+0.540,-0.32,"[-0.44, -0.20]",-37.75,"[-39.66, -35.88]"
7x7,D* Lite,CARE - Dynamo-style Merkle AE,+0.0950,"[+0.0775, +0.1138]",+1.027,-0.40,"[-0.50, -0.30]",-22.88,"[-23.23, -22.54]"
7x7,D* Lite,CARE - Partitioned IBLT,+0.0775,"[+0.0600, +0.0963]",+0.843,-0.33,"[-0.42, -0.24]",-100.42,"[-100.81, -100.03]"
