fov,planner,comparison,seeker_csr_difference,seeker_csr_ci95,seeker_csr_effect_dz,el_difference,el_ci95,traffic_difference_kb,traffic_ci95_kb
3x3,A*,Scuttlebutt-Depth - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+23.02,"[+22.14, +23.88]"
3x3,A*,Dynamo-style Merkle AE - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+26.78,"[+26.52, +27.02]"
3x3,A*,Partitioned IBLT - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+103.09,"[+102.99, +103.20]"
3x3,D* Lite,Scuttlebutt-Depth - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+23.02,"[+22.14, +23.88]"
3x3,D* Lite,Dynamo-style Merkle AE - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+26.78,"[+26.52, +27.02]"
3x3,D* Lite,Partitioned IBLT - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+103.09,"[+102.99, +103.20]"
5x5,A*,Scuttlebutt-Depth - One-shot,+0.0825,"[+0.0400, +0.1275]",+0.372,+0.00,"[+0.00, +0.00]",+32.53,"[+31.02, +34.06]"
5x5,A*,Dynamo-style Merkle AE - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+25.56,"[+25.31, +25.82]"
5x5,A*,Partitioned IBLT - One-shot,+0.0200,"[+0.0075, +0.0350]",+0.293,+0.00,"[+0.00, +0.00]",+105.18,"[+104.99, +105.38]"
5x5,D* Lite,Scuttlebutt-Depth - One-shot,+0.0775,"[+0.0350, +0.1225]",+0.351,+0.00,"[+0.00, +0.00]",+33.01,"[+31.43, +34.63]"
5x5,D* Lite,Dynamo-style Merkle AE - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+25.77,"[+25.50, +26.06]"
5x5,D* Lite,Partitioned IBLT - One-shot,+0.0125,"[+0.0025, +0.0250]",+0.228,+0.00,"[+0.00, +0.00]",+105.09,"[+104.92, +105.26]"
7x7,A*,Scuttlebutt-Depth - One-shot,+0.0625,"[+0.0075, +0.1175]",+0.219,-0.10,"[-0.21, +0.01]",+39.87,"[+37.95, +41.80]"
7x7,A*,Dynamo-style Merkle AE - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+25.22,"[+24.90, +25.54]"
7x7,A*,Partitioned IBLT - One-shot,+0.0325,"[+0.0150, +0.0500]",+0.355,-0.07,"[-0.12, -0.02]",+102.83,"[+102.44, +103.19]"
7x7,D* Lite,Scuttlebutt-Depth - One-shot,+0.0500,"[-0.0075, +0.1050]",+0.175,-0.08,"[-0.19, +0.03]",+40.13,"[+38.25, +42.04]"
7x7,D* Lite,Dynamo-style Merkle AE - One-shot,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+25.26,"[+24.93, +25.59]"
7x7,D* Lite,Partitioned IBLT - One-shot,+0.0350,"[+0.0200, +0.0525]",+0.401,-0.07,"[-0.12, -0.02]",+102.80,"[+102.41, +103.17]"
