observation_radius,planner,loss_probability,iblt_decode_success_rate,ci95,successful_decodes,decode_attempts
1,A*,0.0,1.0000,"[1.0000, 1.0000]",20000,20000
1,A*,0.1,0.9951,"[0.9936, 0.9966]",17906,17994
1,A*,0.2,0.9825,"[0.9794, 0.9853]",15708,15988
1,A*,0.3,0.9591,"[0.9546, 0.9635]",13377,13947
1,A*,0.4,0.9309,"[0.9250, 0.9366]",11158,11986
1,A*,0.5,0.9138,"[0.9068, 0.9207]",9071,9927
1,D* Lite,0.0,1.0000,"[1.0000, 1.0000]",20000,20000
1,D* Lite,0.1,0.9951,"[0.9936, 0.9966]",17906,17994
1,D* Lite,0.2,0.9825,"[0.9794, 0.9853]",15708,15988
1,D* Lite,0.3,0.9591,"[0.9546, 0.9635]",13377,13947
1,D* Lite,0.4,0.9309,"[0.9250, 0.9366]",11158,11986
1,D* Lite,0.5,0.9138,"[0.9068, 0.9207]",9071,9927
2,A*,0.0,0.9747,"[0.9740, 0.9754]",19494,20000
2,A*,0.1,0.9704,"[0.9676, 0.9733]",17531,18065
2,A*,0.2,0.9455,"[0.9403, 0.9507]",15125,15996
2,A*,0.3,0.8751,"[0.8666, 0.8838]",12210,13952
2,A*,0.4,0.7567,"[0.7460, 0.7673]",9157,12102
2,A*,0.5,0.6780,"[0.6659, 0.6900]",6718,9909
2,D* Lite,0.0,0.9747,"[0.9740, 0.9754]",19494,20000
2,D* Lite,0.1,0.9705,"[0.9676, 0.9734]",17539,18072
2,D* Lite,0.2,0.9451,"[0.9401, 0.9502]",15073,15948
2,D* Lite,0.3,0.8722,"[0.8635, 0.8811]",12158,13939
2,D* Lite,0.4,0.7523,"[0.7414, 0.7633]",9097,12093
2,D* Lite,0.5,0.6680,"[0.6567, 0.6796]",6655,9962
3,A*,0.0,0.9584,"[0.9584, 0.9585]",18440,19240
3,A*,0.1,0.9438,"[0.9403, 0.9471]",16472,17452
3,A*,0.2,0.8597,"[0.8520, 0.8675]",13369,15551
3,A*,0.3,0.6426,"[0.6309, 0.6544]",8878,13815
3,A*,0.4,0.4435,"[0.4325, 0.4546]",5307,11965
3,A*,0.5,0.3231,"[0.3129, 0.3335]",3217,9956
3,D* Lite,0.0,0.9584,"[0.9584, 0.9585]",18440,19240
3,D* Lite,0.1,0.9442,"[0.9409, 0.9473]",16476,17450
3,D* Lite,0.2,0.8581,"[0.8505, 0.8657]",13361,15570
3,D* Lite,0.3,0.6442,"[0.6330, 0.6556]",8913,13835
3,D* Lite,0.4,0.4450,"[0.4349, 0.4552]",5303,11917
3,D* Lite,0.5,0.3242,"[0.3139, 0.3346]",3234,9974
