planner,fov,method,seeker_csr_mean,seeker_csr_std,seeker_csr_ci95_low,seeker_csr_ci95_high,el_mean,el_std,el_ci95_low,el_ci95_high,attempted_kb_mean,attempted_kb_std,attempted_kb_ci95_low,attempted_kb_ci95_high
A*,3x3,One-shot,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,26.97604,0.7212262134095591,26.83317,27.11618
A*,3x3,Retry-All ARQ,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,75.37617999999999,2.6540593508774064,74.84876750000001,75.8904855
A*,3x3,Periodic Full,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,275.83646999999996,0.7052454040254285,275.69633,275.97206
A*,3x3,PSR-UT,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,42.9975,0.7572521363322774,42.846298000000004,43.141681
A*,3x3,CARE-Lite,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,38.80379,0.9259862260358309,38.6189565,38.9811415
A*,3x3,CARE,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,32.30876,0.7802052581522921,32.153309,32.45848025
A*,5x5,One-shot,0.3425,0.2061399691197388,0.3025,0.3825,25.0,0.0,25.0,25.0,47.618480000000005,1.6343231909647653,47.296339999999994,47.93607
A*,5x5,Retry-All ARQ,0.5175,0.18207210803759188,0.4825,0.5525,25.0,0.0,25.0,25.0,154.45299,4.162796368543577,153.623095,155.24879225
A*,5x5,Periodic Full,0.4975,0.1758636696507562,0.4625,0.5325,25.0,0.0,25.0,25.0,296.59721,1.2507887313227763,296.34787,296.83835999999997
A*,5x5,PSR-UT,0.47,0.195530875393947,0.4325,0.5075,25.0,0.0,25.0,25.0,62.713879999999996,1.2676277954820916,62.462939750000004,62.9599605
A*,5x5,CARE-Lite,0.48,0.1765265310416997,0.445,0.515,25.0,0.0,25.0,25.0,56.9955,1.4041108944953047,56.71842875,57.266904249999996
A*,5x5,CARE,0.4725,0.1876724795913338,0.435,0.5075,25.0,0.0,25.0,25.0,53.25247,1.2587710974830117,53.003987,53.49360299999999
A*,7x7,One-shot,0.68,0.21343747458109494,0.6375,0.7225,24.82,0.3861229196653691,24.74,24.89,65.35165,1.2363053574536864,65.11141,65.59553
A*,7x7,Retry-All ARQ,0.9525,0.11063978315308477,0.93,0.9725,24.17,0.3775251680686369,24.1,24.24,263.89828,4.19140325596827,263.08062675,264.72127475
A*,7x7,Periodic Full,0.915,0.13399457248166977,0.8875,0.94,24.31,0.46482319871173183,24.22,24.4,285.77913,16.239451343331282,282.65871725,288.998892
A*,7x7,PSR-UT,0.865,0.1605703219241597,0.8325,0.895,24.46,0.5009082659620331,24.36,24.56,75.77351,1.3635881772260667,75.509199,76.043201
A*,7x7,CARE-Lite,0.875,0.1685499656158105,0.8425,0.9075,24.41,0.49431107042371025,24.31,24.51,68.62836999999999,1.2713591443169723,68.38228649999999,68.87664075
A*,7x7,CARE,0.875,0.16088454986057046,0.8425,0.905,24.43,0.49756985195624304,24.34,24.53,67.79419,1.204045082002725,67.56196775,68.03250324999999
D* Lite,3x3,One-shot,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,26.97604,0.7212262134095591,26.83317,27.11618
D* Lite,3x3,Retry-All ARQ,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,75.37617999999999,2.6540593508774064,74.84876750000001,75.8904855
D* Lite,3x3,Periodic Full,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,275.85103000000004,0.6796359164206147,275.71635,275.98207
D* Lite,3x3,PSR-UT,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,42.9975,0.7572521363322774,42.846298000000004,43.141681
D* Lite,3x3,CARE-Lite,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,38.785470000000004,0.8967579930398214,38.60577725,38.95634025
D* Lite,3x3,CARE,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,32.30876,0.7802052581522921,32.153309,32.45848025
