planner,method,seeker_csr_mean,seeker_csr_std,seeker_csr_ci95_low,seeker_csr_ci95_high,overall_completion_mean,overall_completion_ci95_low,overall_completion_ci95_high,el_mean,el_std,el_ci95_low,el_ci95_high,attempted_kb_mean,attempted_kb_std,attempted_kb_ci95_low,attempted_kb_ci95_high
A*,One-shot,0.3425,0.2061399691197388,0.3025,0.3825,0.67125,0.65125,0.69125,25.0,0.0,25.0,25.0,47.618480000000005,1.6343231909647653,47.296339999999994,47.93607
A*,Retry-All ARQ,0.5175,0.18207210803759188,0.4825,0.5525,0.75875,0.74125,0.77625,25.0,0.0,25.0,25.0,154.45299,4.162796368543577,153.623095,155.24879225
A*,Path-weighted ARQ,0.5175,0.18207210803759188,0.4825,0.5525,0.75875,0.74125,0.77625,25.0,0.0,25.0,25.0,154.50286,4.338752962906659,153.63943575000002,155.3332175
A*,Periodic Full,0.4975,0.1758636696507562,0.4625,0.5325,0.74875,0.73125,0.76625,25.0,0.0,25.0,25.0,296.59721,1.2507887313227763,296.34787,296.83835999999997
A*,Mismatch Full,0.465,0.19468960014351153,0.4275,0.5025,0.7325,0.71375,0.75125,25.0,0.0,25.0,25.0,487.63966999999997,27.14754736696328,482.2913335,492.9285965
A*,Action-triggered,0.3425,0.2061399691197388,0.3025,0.3825,0.67125,0.65125,0.69125,25.0,0.0,25.0,25.0,49.85935,1.6250096588679532,49.540163,50.1752205
A*,Full-replica scope,0.3475,0.20990317633219235,0.3075,0.3875,0.67375,0.65375,0.69375,25.0,0.0,25.0,25.0,155.36251000000001,2.1410254198359806,154.94078874999997,155.7789615
A*,PSR-UT,0.47,0.195530875393947,0.4325,0.5075,0.735,0.71625,0.75375,25.0,0.0,25.0,25.0,62.713879999999996,1.2676277954820916,62.462939750000004,62.9599605
A*,CARE-Lite,0.48,0.1765265310416997,0.445,0.515,0.74,0.7225,0.7575,25.0,0.0,25.0,25.0,56.9955,1.4041108944953047,56.71842875,57.266904249999996
A*,CARE,0.4725,0.1876724795913338,0.435,0.5075,0.73625,0.7175,0.75375,25.0,0.0,25.0,25.0,53.25247,1.2587710974830117,53.003987,53.49360299999999
D* Lite,One-shot,0.38,0.21461734799546392,0.3375,0.4225,0.69,0.66875,0.71125,25.0,0.0,25.0,25.0,47.783190000000005,1.5604372716283306,47.47467725,48.08533274999999
D* Lite,Retry-All ARQ,0.5725,0.1677803699043858,0.54,0.605,0.78625,0.77,0.8025,25.0,0.0,25.0,25.0,155.00332,4.005860259896516,154.19006600000003,155.75757375
D* Lite,Path-weighted ARQ,0.5725,0.1677803699043858,0.54,0.605,0.78625,0.77,0.8025,25.0,0.0,25.0,25.0,155.08651999999998,3.9180033218335826,154.28900274999998,155.83056224999999
D* Lite,Periodic Full,0.5475,0.1729680007773961,0.5125,0.5825,0.77375,0.75625,0.79125,25.0,0.0,25.0,25.0,296.76829,1.2693097248807195,296.51167,297.01034999999996
D* Lite,Mismatch Full,0.5,0.19462473604038075,0.4625,0.5375,0.75,0.73125,0.76875,25.0,0.0,25.0,25.0,487.7906,22.65079769772876,483.33328025,492.205413
D* Lite,Action-triggered,0.38,0.21461734799546392,0.3375,0.4225,0.69,0.66875,0.71125,25.0,0.0,25.0,25.0,50.01856,1.5461001138413393,49.71222575,50.3178635
D* Lite,Full-replica scope,0.38,0.21461734799546392,0.3375,0.4225,0.69,0.66875,0.71125,25.0,0.0,25.0,25.0,155.45182,2.076079178439858,155.04015650000002,155.8516925
D* Lite,PSR-UT,0.5275,0.18081954283402848,0.4925,0.5625,0.76375,0.74625,0.78125,25.0,0.0,25.0,25.0,62.73871,1.1572820936761419,62.5050005,62.959641
D* Lite,CARE-Lite,0.5425,0.1742770057909957,0.5075,0.5775,0.77125,0.75375,0.78875,25.0,0.0,25.0,25.0,57.06051,1.3472408129134887,56.789779,57.31863
D* Lite,CARE,0.5375,0.19258672452857817,0.5,0.575,0.76875,0.75,0.7875,25.0,0.0,25.0,25.0,53.25308999999999,1.222478952701428,53.008239,53.485292
