planner,ablation,delta_seeker_csr,delta_seeker_csr_ci95_low,delta_seeker_csr_ci95_high,delta_el,delta_el_ci95_low,delta_el_ci95_high,delta_attempted_kb,delta_attempted_kb_ci95_low,delta_attempted_kb_ci95_high,delta_episode_cpu_ms,delta_episode_cpu_ms_ci95_low,delta_episode_cpu_ms_ci95_high
A*,Certificate trigger -> immediate-action trigger,0.13,0.1,0.1625,0.0,0.0,0.0,3.3931199999999997,3.15083875,3.63979025,709.9850622099999,701.5798575629995,718.5190779947507
A*,Certificate scope -> full-replica scope,0.125,0.0925,0.15756249999999455,0.0,0.0,0.0,-102.11004,-102.48176625,-101.73953974999999,573.1926081700005,564.7250249524996,581.8053339454999
A*,Exact certificate -> PSR-UT heuristic,0.0025,-0.015,0.0225,0.0,0.0,0.0,-9.461409999999999,-9.65718175,-9.2733475,688.2681331100007,680.0195061580005,696.608958326251
A*,Exact certificate -> CARE-Lite heuristic,-0.0075,-0.0275,0.0125,0.0,0.0,0.0,-3.74303,-3.9555605000000003,-3.5385102500000007,693.7979870200002,685.4984296224995,702.2269317372496
A*,Cadence K=1 -> K=4,0.0725,0.0475,0.0975,0.0,0.0,0.0,4.200060000000001,3.9630395,4.44167375,461.02560763999986,450.2401274582497,471.1518622165005
A*,Uncertainty order q=2 -> q=1,0.01,-0.0075,0.0275,0.0,0.0,0.0,1.12635,0.9631292499999999,1.3001142499999996,497.9774580299998,484.46448529349954,509.9084723907501
A*,Candidate cap 8 -> 4,0.0425,0.025,0.0625,0.0,0.0,0.0,1.72788,1.54008975,1.9187424999999998,460.97578628999986,451.46121756799977,470.00581631799946
A*,Candidate cap 8 -> 12,-0.01,-0.025,0.005,0.0,0.0,0.0,-0.9322,-1.0595807499999998,-0.8067762500000003,-1718.6687341400002,-1805.4669474404998,-1655.8322378885007
D* Lite,Certificate trigger -> immediate-action trigger,0.1575,0.1225,0.1925,0.0,0.0,0.0,3.2345300000000003,3.0249844999999995,3.44760175,695.7185185000003,686.8765854824994,704.7960886935001
D* Lite,Certificate scope -> full-replica scope,0.1575,0.1225,0.1925,0.0,0.0,0.0,-102.19873,-102.51303275,-101.88284550000002,555.3823494000002,546.5245775567498,564.4673666715006
D* Lite,Exact certificate -> PSR-UT heuristic,0.01,-0.0125,0.0325,0.0,0.0,0.0,-9.48562,-9.6947745,-9.28751525,676.1419470299993,667.4657788537495,685.1002066989986
D* Lite,Exact certificate -> CARE-Lite heuristic,-0.005,-0.025,0.015,0.0,0.0,0.0,-3.80742,-4.01004075,-3.60923,681.2463234800005,672.7283671500004,690.0024480417504
D* Lite,Cadence K=1 -> K=4,0.0875,0.06,0.115,0.0,0.0,0.0,4.04153,3.8455475000000003,4.240373249999999,438.28882298999997,426.335618773,449.65873731125004
D* Lite,Uncertainty order q=2 -> q=1,0.0125,-0.0025,0.03,0.0,0.0,0.0,1.01234,0.860359,1.1729005,473.10725954000003,455.33619422799984,487.43258708475
D* Lite,Candidate cap 8 -> 4,0.0425,0.025,0.0625,0.0,0.0,0.0,1.6637899999999999,1.50220625,1.82864025,420.25222830999996,392.6686197395001,441.47360633975063
D* Lite,Candidate cap 8 -> 12,-0.0125,-0.03,0.005,0.0,0.0,0.0,-0.96108,-1.0839205,-0.8392687500000001,-1721.1597873600006,-1822.9034304032502,-1651.8970151042504
