fov,planner,strategy,csr_mean,csr_std,csr_ci95,el_mean,el_std,el_ci95,attempted_kb_mean,attempted_kb_std,attempted_kb_ci95,mean_replica_error
3x3,A*,No Communication,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",0.00,0.00,"[0.00, 0.00]",0.0458
3x3,A*,CARE,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",32.31,0.78,"[32.15, 32.46]",0.0713
3x3,A*,Continuous Full Sync,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",891.80,0.00,"[891.80, 891.80]",0.0121
3x3,D* Lite,No Communication,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",0.00,0.00,"[0.00, 0.00]",0.0458
3x3,D* Lite,CARE,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",32.31,0.78,"[32.15, 32.46]",0.0713
3x3,D* Lite,Continuous Full Sync,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",891.80,0.00,"[891.80, 891.80]",0.0121
5x5,A*,No Communication,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",0.00,0.00,"[0.00, 0.00]",0.0924
5x5,A*,CARE,0.7362,0.0938,"[0.7175, 0.7538]",25.00,0.00,"[25.00, 25.00]",53.25,1.26,"[53.01, 53.49]",0.1333
5x5,A*,Continuous Full Sync,0.7250,0.0923,"[0.7063, 0.7425]",25.00,0.00,"[25.00, 25.00]",891.80,0.00,"[891.80, 891.80]",0.0360
5x5,D* Lite,No Communication,0.5000,0.0000,"[0.5000, 0.5000]",25.00,0.00,"[25.00, 25.00]",0.00,0.00,"[0.00, 0.00]",0.0926
5x5,D* Lite,CARE,0.7688,0.0963,"[0.7500, 0.7875]",25.00,0.00,"[25.00, 25.00]",53.25,1.22,"[53.01, 53.48]",0.1338
5x5,D* Lite,Continuous Full Sync,0.7550,0.0905,"[0.7375, 0.7725]",25.00,0.00,"[25.00, 25.00]",891.80,0.00,"[891.80, 891.80]",0.0363
7x7,A*,No Communication,0.7388,0.0908,"[0.7212, 0.7562]",25.00,0.00,"[25.00, 25.00]",0.00,0.00,"[0.00, 0.00]",0.1524
7x7,A*,CARE,0.9375,0.0804,"[0.9213, 0.9525]",24.43,0.50,"[24.33, 24.53]",67.79,1.20,"[67.56, 68.04]",0.1844
7x7,A*,Continuous Full Sync,0.9812,0.0514,"[0.9700, 0.9900]",24.14,0.35,"[24.08, 24.21]",861.12,12.44,"[858.98, 863.62]",0.0648
7x7,D* Lite,No Communication,0.7388,0.0908,"[0.7212, 0.7562]",25.00,0.00,"[25.00, 25.00]",0.00,0.00,"[0.00, 0.00]",0.1525
7x7,D* Lite,CARE,0.9413,0.0804,"[0.9250, 0.9563]",24.40,0.49,"[24.31, 24.50]",67.67,1.06,"[67.47, 67.88]",0.1840
7x7,D* Lite,Continuous Full Sync,0.9812,0.0514,"[0.9700, 0.9900]",24.14,0.35,"[24.08, 24.21]",861.12,12.44,"[858.98, 863.62]",0.0649
