fov,planner,comparison,seeker_csr_difference,seeker_csr_ci95,paired_dz,el_difference,el_ci95,traffic_difference_kb,traffic_ci95_kb
3x3,A*,CARE - No Communication,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+32.31,"[+32.15, +32.46]"
3x3,A*,Continuous Full Sync - CARE,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+859.49,"[+859.34, +859.64]"
3x3,D* Lite,CARE - No Communication,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+32.31,"[+32.15, +32.46]"
3x3,D* Lite,Continuous Full Sync - CARE,+0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+859.49,"[+859.34, +859.64]"
5x5,A*,CARE - No Communication,+0.4725,"[+0.4350, +0.5075]",+2.518,+0.00,"[+0.00, +0.00]",+53.25,"[+53.00, +53.49]"
5x5,A*,Continuous Full Sync - CARE,-0.0225,"[-0.0525, +0.0075]",-0.145,+0.00,"[+0.00, +0.00]",+838.55,"[+838.30, +838.79]"
5x5,D* Lite,CARE - No Communication,+0.5375,"[+0.5000, +0.5750]",+2.791,+0.00,"[+0.00, +0.00]",+53.25,"[+53.01, +53.49]"
5x5,D* Lite,Continuous Full Sync - CARE,-0.0275,"[-0.0600, +0.0050]",-0.165,+0.00,"[+0.00, +0.00]",+838.55,"[+838.31, +838.79]"
7x7,A*,CARE - No Communication,+0.3975,"[+0.3600, +0.4375]",+1.975,-0.57,"[-0.66, -0.47]",+67.79,"[+67.56, +68.03]"
7x7,A*,Continuous Full Sync - CARE,+0.0875,"[+0.0525, +0.1225]",+0.509,-0.29,"[-0.39, -0.19]",+793.33,"[+791.05, +795.84]"
7x7,D* Lite,CARE - No Communication,+0.4050,"[+0.3675, +0.4450]",+2.054,-0.60,"[-0.70, -0.50]",+67.67,"[+67.47, +67.88]"
7x7,D* Lite,Continuous Full Sync - CARE,+0.0800,"[+0.0475, +0.1125]",+0.471,-0.26,"[-0.36, -0.16]",+793.45,"[+791.18, +795.95]"
