planner,comparison,csr_difference,csr_ci95,csr_effect_dz,el_difference,el_ci95,traffic_kb_difference,traffic_kb_ci95
A*,CARE - One-shot,+0.1300,"[+0.1000, +0.1625]",+0.789,+0.00,"[+0.00, +0.00]",+5.63,"[+5.39, +5.88]"
A*,CARE - Retry-All ARQ,-0.0450,"[-0.0675, -0.0250]",-0.413,+0.00,"[+0.00, +0.00]",-101.20,"[-101.91, -100.45]"
A*,CARE - Path-weighted ARQ,-0.0450,"[-0.0675, -0.0250]",-0.413,+0.00,"[+0.00, +0.00]",-101.25,"[-101.97, -100.49]"
A*,CARE - Periodic Full,-0.0250,"[-0.0475, -0.0025]",-0.217,+0.00,"[+0.00, +0.00]",-243.34,"[-243.57, -243.12]"
A*,CARE - Mismatch Full,+0.0075,"[-0.0175, +0.0325]",+0.058,+0.00,"[+0.00, +0.00]",-434.39,"[-439.55, -429.13]"
A*,CARE - PSR-UT,+0.0025,"[-0.0150, +0.0225]",+0.026,+0.00,"[+0.00, +0.00]",-9.46,"[-9.66, -9.27]"
A*,CARE - CARE-Lite,-0.0075,"[-0.0275, +0.0125]",-0.077,+0.00,"[+0.00, +0.00]",-3.74,"[-3.96, -3.54]"
D* Lite,CARE - One-shot,+0.1575,"[+0.1225, +0.1925]",+0.875,+0.00,"[+0.00, +0.00]",+5.47,"[+5.26, +5.69]"
D* Lite,CARE - Retry-All ARQ,-0.0350,"[-0.0550, -0.0175]",-0.348,+0.00,"[+0.00, +0.00]",-101.75,"[-102.44, -101.03]"
D* Lite,CARE - Path-weighted ARQ,-0.0350,"[-0.0550, -0.0175]",-0.348,+0.00,"[+0.00, +0.00]",-101.83,"[-102.48, -101.16]"
D* Lite,CARE - Periodic Full,-0.0100,"[-0.0350, +0.0125]",-0.082,+0.00,"[+0.00, +0.00]",-243.52,"[-243.75, -243.28]"
D* Lite,CARE - Mismatch Full,+0.0375,"[+0.0100, +0.0675]",+0.253,+0.00,"[+0.00, +0.00]",-434.54,"[-438.82, -430.21]"
D* Lite,CARE - PSR-UT,+0.0100,"[-0.0125, +0.0325]",+0.089,+0.00,"[+0.00, +0.00]",-9.49,"[-9.69, -9.29]"
D* Lite,CARE - CARE-Lite,-0.0050,"[-0.0250, +0.0150]",-0.050,+0.00,"[+0.00, +0.00]",-3.81,"[-4.01, -3.61]"
