planner,method,csr_mean,csr_std,csr_ci95,attempted_kb_mean,attempted_kb_std,attempted_kb_ci95
A*,One-shot,0.6713,0.1031,"[0.6512, 0.6913]",47.62,1.63,"[47.30, 47.93]"
A*,Retry-All ARQ,0.7588,0.0910,"[0.7412, 0.7762]",154.45,4.16,"[153.62, 155.24]"
A*,Path-weighted ARQ,0.7588,0.0910,"[0.7412, 0.7762]",154.50,4.34,"[153.64, 155.32]"
A*,Periodic Full,0.7488,0.0879,"[0.7312, 0.7662]",296.60,1.25,"[296.35, 296.84]"
A*,Mismatch Full,0.7325,0.0973,"[0.7137, 0.7512]",487.64,27.15,"[482.31, 492.89]"
A*,PSR-UT,0.7350,0.0978,"[0.7163, 0.7538]",62.71,1.27,"[62.47, 62.96]"
A*,CARE-Lite,0.7400,0.0883,"[0.7225, 0.7575]",57.00,1.40,"[56.72, 57.27]"
A*,CARE,0.7362,0.0938,"[0.7175, 0.7550]",53.25,1.26,"[53.00, 53.49]"
D* Lite,One-shot,0.6900,0.1073,"[0.6700, 0.7113]",47.78,1.56,"[47.48, 48.09]"
D* Lite,Retry-All ARQ,0.7863,0.0839,"[0.7700, 0.8025]",155.00,4.01,"[154.19, 155.75]"
D* Lite,Path-weighted ARQ,0.7863,0.0839,"[0.7700, 0.8025]",155.09,3.92,"[154.30, 155.82]"
D* Lite,Periodic Full,0.7738,0.0865,"[0.7562, 0.7900]",296.77,1.27,"[296.51, 297.01]"
D* Lite,Mismatch Full,0.7500,0.0973,"[0.7312, 0.7688]",487.79,22.65,"[483.38, 492.14]"
D* Lite,PSR-UT,0.7638,0.0904,"[0.7462, 0.7812]",62.74,1.16,"[62.51, 62.96]"
D* Lite,CARE-Lite,0.7712,0.0871,"[0.7550, 0.7875]",57.06,1.35,"[56.79, 57.32]"
D* Lite,CARE,0.7688,0.0963,"[0.7488, 0.7875]",53.25,1.22,"[53.01, 53.48]"
