planner,loss_probability,comparison,paired_maps,csr_difference,csr_std_difference,csr_ci95,csr_effect_dz,el_difference,el_ci95,traffic_kb_difference,traffic_kb_std_difference,traffic_kb_ci95
A*,0.0,CARE - One-shot,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",+4.66,0.23,"[+4.61, +4.70]"
A*,0.0,CARE - Retry-All ARQ,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-46.05,1.06,"[-46.25, -45.83]"
A*,0.0,CARE - Path-weighted ARQ,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-46.05,1.06,"[-46.25, -45.83]"
A*,0.0,CARE - Periodic Full,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-244.18,0.54,"[-244.28, -244.07]"
A*,0.0,CARE - Mismatch Full,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-561.04,38.35,"[-568.29, -553.33]"
A*,0.0,CARE - PSR-UT,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-9.89,0.30,"[-9.95, -9.83]"
A*,0.0,CARE - CARE-Lite,100,+0.0000,0.0000,"[+0.0000, +0.0000]",+0.000,+0.00,"[+0.00, +0.00]",-4.48,0.23,"[-4.52, -4.43]"
A*,0.1,CARE - One-shot,100,+0.0650,0.1311,"[+0.0400, +0.0925]",+0.496,+0.00,"[+0.00, +0.00]",+5.01,1.09,"[+4.80, +5.22]"
A*,0.1,CARE - Retry-All ARQ,100,-0.0075,0.0429,"[-0.0175, +0.0000]",-0.175,+0.00,"[+0.00, +0.00]",-58.97,1.65,"[-59.28, -58.64]"
A*,0.1,CARE - Path-weighted ARQ,100,-0.0075,0.0429,"[-0.0175, +0.0000]",-0.175,+0.00,"[+0.00, +0.00]",-58.96,1.89,"[-59.32, -58.59]"
A*,0.1,CARE - Periodic Full,100,-0.0075,0.0429,"[-0.0175, +0.0000]",-0.175,+0.00,"[+0.00, +0.00]",-243.96,0.60,"[-244.07, -243.84]"
A*,0.1,CARE - Mismatch Full,100,+0.0000,0.0615,"[-0.0125, +0.0125]",+0.000,+0.00,"[+0.00, +0.00]",-544.37,35.70,"[-551.28, -537.34]"
A*,0.1,CARE - PSR-UT,100,-0.0075,0.0429,"[-0.0175, +0.0000]",-0.175,+0.00,"[+0.00, +0.00]",-9.60,0.41,"[-9.68, -9.52]"
A*,0.1,CARE - CARE-Lite,100,-0.0075,0.0429,"[-0.0175, +0.0000]",-0.175,+0.00,"[+0.00, +0.00]",-4.17,0.33,"[-4.24, -4.11]"
