planner,comparison,delta_seeker_csr,seeker_ci95,paired_dz,delta_kb,kb_ci95
A*,CARE - No Communication,+0.0200,"[-0.0050, +0.0450]",+0.158,+70.35,"[+68.57, +72.13]"
A*,CARE - One-shot,+0.0050,"[-0.0050, +0.0150]",+0.100,+4.89,"[+4.35, +5.52]"
A*,CARE - Retry-All,-0.0050,"[-0.0125, +0.0000]",-0.142,-129.16,"[-132.46, -125.87]"
A*,CARE - Periodic Full,-0.0100,"[-0.0225, +0.0000]",-0.165,-363.94,"[-386.50, -341.68]"
A*,CARE - Path-Aware Top-K,+0.0025,"[+0.0000, +0.0075]",+0.100,-1.42,"[-1.71, -1.07]"
A*,CARE - Single-Cell,+0.0000,"[+0.0000, +0.0000]",+0.000,+1.27,"[+1.14, +1.41]"
A*,CARE - CARE-Lite,+0.0000,"[+0.0000, +0.0000]",+0.000,-3.96,"[-4.30, -3.61]"
D* Lite,CARE - No Communication,+0.0175,"[-0.0075, +0.0450]",+0.130,+70.39,"[+68.57, +72.22]"
D* Lite,CARE - One-shot,-0.0025,"[-0.0125, +0.0075]",-0.045,+4.55,"[+4.06, +5.05]"
D* Lite,CARE - Retry-All,-0.0075,"[-0.0175, +0.0000]",-0.175,-129.85,"[-133.23, -126.46]"
D* Lite,CARE - Periodic Full,-0.0125,"[-0.0275, -0.0025]",-0.191,-361.19,"[-383.29, -339.56]"
D* Lite,CARE - Path-Aware Top-K,+0.0025,"[+0.0000, +0.0075]",+0.100,-1.42,"[-1.70, -1.08]"
D* Lite,CARE - Single-Cell,+0.0000,"[+0.0000, +0.0000]",+0.000,+1.25,"[+1.13, +1.38]"
D* Lite,CARE - CARE-Lite,+0.0000,"[+0.0000, +0.0000]",+0.000,-3.98,"[-4.31, -3.64]"
