fov,planner,method,seeker_csr_mean,seeker_csr_ci95,el_mean,el_ci95,attempted_kb
3x3,A*,One-shot,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",26.98
3x3,A*,Retry-All ARQ,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",75.38
3x3,A*,Path-Weighted ARQ,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",75.20
3x3,A*,PSR-UT,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",43.00
3x3,A*,CARE-Lite,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",38.80
3x3,A*,Path-Aware Top-K,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",33.46
3x3,A*,Single-Cell Sensitivity,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",31.06
3x3,A*,CARE,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",32.31
3x3,D* Lite,One-shot,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",26.98
3x3,D* Lite,Retry-All ARQ,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",75.38
3x3,D* Lite,Path-Weighted ARQ,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",75.20
3x3,D* Lite,PSR-UT,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",43.00
3x3,D* Lite,CARE-Lite,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",38.79
3x3,D* Lite,Path-Aware Top-K,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",33.46
3x3,D* Lite,Single-Cell Sensitivity,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",31.06
3x3,D* Lite,CARE,0.0000,"[0.0000, 0.0000]",25.00,"[25.00, 25.00]",32.31
5x5,A*,One-shot,0.3425,"[0.3025, 0.3825]",25.00,"[25.00, 25.00]",47.62
5x5,A*,Retry-All ARQ,0.5175,"[0.4825, 0.5525]",25.00,"[25.00, 25.00]",154.45
5x5,A*,Path-Weighted ARQ,0.5175,"[0.4825, 0.5525]",25.00,"[25.00, 25.00]",154.50
5x5,A*,PSR-UT,0.4700,"[0.4325, 0.5075]",25.00,"[25.00, 25.00]",62.71
5x5,A*,CARE-Lite,0.4800,"[0.4450, 0.5150]",25.00,"[25.00, 25.00]",57.00
5x5,A*,Path-Aware Top-K,0.4550,"[0.4200, 0.4900]",25.00,"[25.00, 25.00]",54.37
5x5,A*,Single-Cell Sensitivity,0.4650,"[0.4300, 0.5000]",25.00,"[25.00, 25.00]",52.11
5x5,A*,CARE,0.4725,"[0.4350, 0.5075]",25.00,"[25.00, 25.00]",53.25
5x5,D* Lite,One-shot,0.3800,"[0.3375, 0.4225]",25.00,"[25.00, 25.00]",47.78
5x5,D* Lite,Retry-All ARQ,0.5725,"[0.5400, 0.6050]",25.00,"[25.00, 25.00]",155.00
5x5,D* Lite,Path-Weighted ARQ,0.5725,"[0.5400, 0.6050]",25.00,"[25.00, 25.00]",155.09
5x5,D* Lite,PSR-UT,0.5275,"[0.4925, 0.5625]",25.00,"[25.00, 25.00]",62.74
5x5,D* Lite,CARE-Lite,0.5425,"[0.5075, 0.5775]",25.00,"[25.00, 25.00]",57.06
5x5,D* Lite,Path-Aware Top-K,0.5225,"[0.4850, 0.5600]",25.00,"[25.00, 25.00]",54.39
5x5,D* Lite,Single-Cell Sensitivity,0.5250,"[0.4900, 0.5600]",25.00,"[25.00, 25.00]",52.23
5x5,D* Lite,CARE,0.5375,"[0.5000, 0.5750]",25.00,"[25.00, 25.00]",53.25
7x7,A*,One-shot,0.6800,"[0.6375, 0.7225]",24.82,"[24.74, 24.89]",65.35
7x7,A*,Retry-All ARQ,0.9525,"[0.9300, 0.9725]",24.17,"[24.10, 24.24]",263.90
7x7,A*,Path-Weighted ARQ,0.9550,"[0.9325, 0.9750]",24.16,"[24.09, 24.23]",263.92
7x7,A*,PSR-UT,0.8650,"[0.8325, 0.8950]",24.46,"[24.36, 24.56]",75.77
7x7,A*,CARE-Lite,0.8750,"[0.8425, 0.9075]",24.41,"[24.31, 24.51]",68.63
7x7,A*,Path-Aware Top-K,0.8750,"[0.8425, 0.9075]",24.41,"[24.31, 24.51]",68.29
7x7,A*,Single-Cell Sensitivity,0.8475,"[0.8100, 0.8850]",24.46,"[24.36, 24.56]",67.69
7x7,A*,CARE,0.8750,"[0.8425, 0.9050]",24.43,"[24.34, 24.53]",67.79
7x7,D* Lite,One-shot,0.6925,"[0.6500, 0.7350]",24.80,"[24.72, 24.87]",65.30
7x7,D* Lite,Retry-All ARQ,0.9525,"[0.9300, 0.9725]",24.17,"[24.10, 24.24]",263.91
7x7,D* Lite,Path-Weighted ARQ,0.9550,"[0.9325, 0.9750]",24.16,"[24.09, 24.23]",263.80
7x7,D* Lite,PSR-UT,0.8625,"[0.8300, 0.8950]",24.46,"[24.36, 24.56]",75.64
7x7,D* Lite,CARE-Lite,0.8800,"[0.8475, 0.9125]",24.39,"[24.29, 24.49]",68.62
7x7,D* Lite,Path-Aware Top-K,0.8800,"[0.8475, 0.9125]",24.39,"[24.29, 24.49]",68.28
7x7,D* Lite,Single-Cell Sensitivity,0.8575,"[0.8225, 0.8925]",24.44,"[24.34, 24.54]",67.65
7x7,D* Lite,CARE,0.8825,"[0.8500, 0.9125]",24.40,"[24.30, 24.50]",67.67
