planner,method,seeker_csr_mean,seeker_csr_std,seeker_csr_ci95,overall_completion_mean,overall_completion_ci95,el_mean,el_std,el_ci95,attempted_kb,episode_cpu_ms
A*,One-shot,0.3425,0.2061,"[0.3025, 0.3825]",0.6713,"[0.6512, 0.6913]",25.00,0.00,"[25.00, 25.00]",47.62,206.6
A*,Retry-All ARQ,0.5175,0.1821,"[0.4825, 0.5525]",0.7588,"[0.7412, 0.7762]",25.00,0.00,"[25.00, 25.00]",154.45,742.3
A*,Path-Weighted ARQ,0.5175,0.1821,"[0.4825, 0.5525]",0.7588,"[0.7412, 0.7762]",25.00,0.00,"[25.00, 25.00]",154.50,764.9
A*,PSR-UT,0.4700,0.1955,"[0.4325, 0.5075]",0.7350,"[0.7163, 0.7538]",25.00,0.00,"[25.00, 25.00]",62.71,234.1
A*,CARE-Lite,0.4800,0.1765,"[0.4450, 0.5150]",0.7400,"[0.7225, 0.7575]",25.00,0.00,"[25.00, 25.00]",57.00,227.2
A*,Path-Aware Top-K,0.4550,0.1859,"[0.4200, 0.4900]",0.7275,"[0.7100, 0.7450]",25.00,0.00,"[25.00, 25.00]",54.37,219.7
A*,Single-Cell Sensitivity,0.4650,0.1813,"[0.4300, 0.5000]",0.7325,"[0.7150, 0.7500]",25.00,0.00,"[25.00, 25.00]",52.11,332.7
A*,CARE,0.4725,0.1877,"[0.4350, 0.5075]",0.7362,"[0.7175, 0.7538]",25.00,0.00,"[25.00, 25.00]",53.25,909.7
D* Lite,One-shot,0.3800,0.2146,"[0.3375, 0.4225]",0.6900,"[0.6687, 0.7113]",25.00,0.00,"[25.00, 25.00]",47.78,305.9
D* Lite,Retry-All ARQ,0.5725,0.1678,"[0.5400, 0.6050]",0.7863,"[0.7700, 0.8025]",25.00,0.00,"[25.00, 25.00]",155.00,845.0
D* Lite,Path-Weighted ARQ,0.5725,0.1678,"[0.5400, 0.6050]",0.7863,"[0.7700, 0.8025]",25.00,0.00,"[25.00, 25.00]",155.09,866.3
D* Lite,PSR-UT,0.5275,0.1808,"[0.4925, 0.5625]",0.7638,"[0.7462, 0.7812]",25.00,0.00,"[25.00, 25.00]",62.74,330.6
D* Lite,CARE-Lite,0.5425,0.1743,"[0.5075, 0.5775]",0.7712,"[0.7538, 0.7887]",25.00,0.00,"[25.00, 25.00]",57.06,325.0
D* Lite,Path-Aware Top-K,0.5225,0.1883,"[0.4850, 0.5600]",0.7612,"[0.7425, 0.7800]",25.00,0.00,"[25.00, 25.00]",54.39,314.6
D* Lite,Single-Cell Sensitivity,0.5250,0.1829,"[0.4900, 0.5600]",0.7625,"[0.7450, 0.7800]",25.00,0.00,"[25.00, 25.00]",52.23,427.9
D* Lite,CARE,0.5375,0.1926,"[0.5000, 0.5750]",0.7688,"[0.7500, 0.7875]",25.00,0.00,"[25.00, 25.00]",53.25,994.1
